month,weekday,day,hour,value
7.0,1.0,14.0,0.0,0.27849999999999997
7.0,1.0,14.0,1.0,0.23
7.0,1.0,14.0,2.0,0.2675
7.0,1.0,14.0,3.0,0.373
7.0,1.0,14.0,4.0,0.333
7.0,1.0,14.0,5.0,0.3435
7.0,1.0,14.0,6.0,0.3505
7.0,1.0,14.0,7.0,2.6310000000000002
7.0,1.0,14.0,8.0,3.7504999999999997
7.0,1.0,14.0,9.0,0.8815
7.0,1.0,14.0,10.0,0.456
7.0,1.0,14.0,11.0,1.1315
7.0,1.0,14.0,12.0,1.5405
7.0,1.0,14.0,13.0,0.753
7.0,1.0,14.0,14.0,0.8099999999999999
7.0,1.0,14.0,15.0,0.28800000000000003
7.0,1.0,14.0,16.0,0.33399999999999996
7.0,1.0,14.0,17.0,0.3165
7.0,1.0,14.0,18.0,0.3755
7.0,1.0,14.0,19.0,0.364
7.0,1.0,14.0,20.0,0.342
7.0,1.0,14.0,21.0,0.3295
7.0,1.0,14.0,22.0,0.34
7.0,1.0,14.0,23.0,0.34950000000000003
7.0,2.0,15.0,0.0,0.302
7.0,2.0,15.0,1.0,0.268
7.0,2.0,15.0,2.0,0.234
7.0,2.0,15.0,3.0,0.34600000000000003
7.0,2.0,15.0,4.0,0.3265
7.0,2.0,15.0,5.0,0.3535
7.0,2.0,15.0,6.0,0.3625
7.0,2.0,15.0,7.0,0.34450000000000003
7.0,2.0,15.0,8.0,0.343
7.0,2.0,15.0,9.0,0.349
7.0,2.0,15.0,10.0,0.3275
7.0,2.0,15.0,11.0,0.317
7.0,2.0,15.0,12.0,0.3165
7.0,2.0,15.0,13.0,0.29500000000000004
7.0,2.0,15.0,14.0,0.2565
7.0,2.0,15.0,15.0,0.2575
7.0,2.0,15.0,16.0,0.367
7.0,2.0,15.0,17.0,0.372
7.0,2.0,15.0,18.0,0.482
7.0,2.0,15.0,19.0,0.3365
7.0,2.0,15.0,20.0,0.35750000000000004
7.0,2.0,15.0,21.0,0.373
7.0,2.0,15.0,22.0,0.34199999999999997
7.0,2.0,15.0,23.0,0.3285
7.0,3.0,16.0,0.0,0.27949999999999997
7.0,3.0,16.0,1.0,0.258
7.0,3.0,16.0,2.0,0.256
7.0,3.0,16.0,3.0,0.2675
7.0,3.0,16.0,4.0,0.2455
7.0,3.0,16.0,5.0,0.2385
7.0,3.0,16.0,6.0,0.239
7.0,3.0,16.0,7.0,0.2365
7.0,3.0,16.0,8.0,0.2565
7.0,3.0,16.0,9.0,0.2535
7.0,3.0,16.0,10.0,0.259
7.0,3.0,16.0,11.0,0.2505
7.0,3.0,16.0,12.0,0.4665
7.0,3.0,16.0,13.0,0.362
7.0,3.0,16.0,14.0,0.34950000000000003
7.0,3.0,16.0,15.0,0.39049999999999996
7.0,3.0,16.0,16.0,1.0270000000000001
7.0,3.0,16.0,17.0,1.7985
7.0,3.0,16.0,18.0,0.6665
7.0,3.0,16.0,19.0,0.6535
7.0,3.0,16.0,20.0,0.7024999999999999
7.0,3.0,16.0,21.0,0.827
7.0,3.0,16.0,22.0,0.935
7.0,3.0,16.0,23.0,0.6065
7.0,4.0,17.0,0.0,0.4125
7.0,4.0,17.0,1.0,0.353
7.0,4.0,17.0,2.0,0.3325
7.0,4.0,17.0,3.0,0.4365
7.0,4.0,17.0,4.0,0.428
7.0,4.0,17.0,5.0,0.45499999999999996
7.0,4.0,17.0,6.0,0.4505
7.0,4.0,17.0,7.0,2.5295
7.0,4.0,17.0,8.0,3.0395
7.0,4.0,17.0,9.0,0.865
7.0,4.0,17.0,10.0,1.532
7.0,4.0,17.0,11.0,0.437
7.0,4.0,17.0,12.0,0.6355
7.0,4.0,17.0,13.0,0.497
7.0,4.0,17.0,14.0,0.353
7.0,4.0,17.0,15.0,0.314
7.0,4.0,17.0,16.0,0.42100000000000004
7.0,4.0,17.0,17.0,0.41000000000000003
7.0,4.0,17.0,18.0,0.4275
7.0,4.0,17.0,19.0,0.5175
7.0,4.0,17.0,20.0,0.825
7.0,4.0,17.0,21.0,0.7165
7.0,4.0,17.0,22.0,0.825
7.0,4.0,17.0,23.0,0.52
7.0,5.0,18.0,0.0,0.36
7.0,5.0,18.0,1.0,0.261
7.0,5.0,18.0,2.0,0.259
7.0,5.0,18.0,3.0,0.365
7.0,5.0,18.0,4.0,0.359
7.0,5.0,18.0,5.0,0.3685
7.0,5.0,18.0,6.0,0.34299999999999997
7.0,5.0,18.0,7.0,2.516
7.0,5.0,18.0,8.0,2.6975000000000002
7.0,5.0,18.0,9.0,1.419
7.0,5.0,18.0,10.0,1.296
7.0,5.0,18.0,11.0,0.978
